HUC12,Lake_Chla,Obs_HABs_Treat_Num,Obs_HABs_Treat_Risk,Obs_Deficiencies_n,Obs_AltSource,Obs_Cyano_ugl,Obs_DBP_Viol_n,Obs_Tot_Carbon_tt_n,Obs_turb_exceed_n,Obs_RTCR_mcl_n,Obs_HAB_DW_Risk,Obs_DW_Ops_Risk,Obs_Lake_Risk,Obs_DW_Viol_Risk,Pred_Cyan_ugl,Pred_DBP_freq,Pred_DWOps_Risk,Pred_Lake_Risk,Pred_HABDW_Risk,Est_HABDW_Risk,Est_DWOps_Risk,Est_Lake_Risk
10100030301,4.760215997,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.192156355,0,0.041262419,7.716840171,0.361766071,0.218040506,0.51637483,0.287398053,0.206022856,0.213606621
10100030302,4.760215997,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.192156355,0,0.041262419,7.716840171,0.361766071,0.218040506,0.51637483,0.287398053,0.206022856,0.213606621
10100030303,4.760215997,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.192156355,0,0.041262419,7.716840171,0.361766071,0.218040506,0.51637483,0.287398053,0.206022856,0.213606621
10100041108,5.726623577,4,0.666666667,0,1,NA,46,0,0,0,0.437786436,0.318853116,0.199169588,0.100119048,0.05184559,43.46161304,0.317159696,0.222216979,0.438312547,0.373783198,0.294608342,0.221402736
10100041109,5.726623577,4,0.666666667,0,1,NA,46,0,0,0,0.437786436,0.318853116,0.199169588,0.100119048,0.05184559,43.46161304,0.317159696,0.222216979,0.438312547,0.373783198,0.294608342,0.221402736
10200040203,2.878325795,4,0.666666667,0,1,NA,0,0,0,0,NA,NA,0.198356275,0,0.057325114,1.742644062,0.319908203,0.198433186,0.40326393,0.362896305,0.294117647,0.220498634
10200040305,2.878325795,4,0.666666667,0,1,NA,0,0,0,0,NA,NA,0.198356275,0,0.057325114,1.742644062,0.319908203,0.198433186,0.40326393,0.362896305,0.294117647,0.220498634
10200040311,2.878325795,4,0.666666667,0,1,NA,0,0,0,0,NA,NA,0.198356275,0,0.057325114,1.742644062,0.319908203,0.198433186,0.40326393,0.362896305,0.294117647,0.220498634
10200050602,2.35611115,2,0.666666667,0,0,0,0,0,0,0,NA,NA,0.192730536,0,0.038943305,2.445561523,0.224080501,0.193200057,0.348014157,0.234613421,0.140664962,0.214244898
10200050703,4.392983629,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.19503133,0,0.037538365,5.447660517,0.368587815,0.201154261,0.49907495,0.289191652,0.206022856,0.216802528
10200051004,2.35611115,2,0.666666667,0,0,0,0,0,0,0,NA,NA,0.192730536,0,0.038943305,2.445561523,0.224080501,0.193200057,0.348014157,0.234613421,0.140664962,0.214244898
10200051007,4.749705057,4,0.666666667,0,1,0,0,0,0,0,0.396791885,0.318330353,0.196556359,0,0.020312826,2.030826891,0.320860341,0.196733786,0.4070527,0.361792033,0.294140564,0.218497794
10200051008,4.749705057,4,0.666666667,0,1,0,0,0,0,0,0.396791885,0.318330353,0.196556359,0,0.020312826,2.030826891,0.320860341,0.196733786,0.4070527,0.361792033,0.294140564,0.218497794
10200051009,4.749705057,4,0.666666667,0,1,0,0,0,0,0,0.396791885,0.318330353,0.196556359,0,0.020312826,2.030826891,0.320860341,0.196733786,0.4070527,0.361792033,0.294140564,0.218497794
10300020501,2.176780594,2,0.866666667,1,1,NA,0,0,0,0,NA,NA,0.193977788,0,0.034399411,6.288233333,0.356360474,0.193757834,0.452153411,0.310622426,0.233187904,0.21563138
10300030102,2.176780594,2,0.866666667,1,1,NA,0,0,0,0,NA,NA,0.193977788,0,0.034399411,6.288233333,0.356360474,0.193757834,0.452153411,0.310622426,0.233187904,0.21563138
10300030104,2.176780594,2,0.866666667,1,1,NA,0,0,0,0,NA,NA,0.193977788,0,0.034399411,6.288233333,0.356360474,0.193757834,0.452153411,0.310622426,0.233187904,0.21563138
10300030702,2.247154189,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.196763701,0,0.043220796,6.51578779,0.345748987,0.202234111,0.488839362,0.290272419,0.206022856,0.218728282
10300030703,2.247154189,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.196763701,0,0.043220796,6.51578779,0.345748987,0.202234111,0.488839362,0.290272419,0.206022856,0.218728282
10300030802,2.247154189,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.196763701,0,0.043220796,6.51578779,0.345748987,0.202234111,0.488839362,0.290272419,0.206022856,0.218728282
10300031102,4.77692208,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.195576348,0,0.051798119,7.989240171,0.362861369,0.205757303,0.510315819,0.28953167,0.206022856,0.217408386
10300031702,5.130971093,3,0.733333333,0,1,NA,53,0,0,0,0.449939738,0.334702259,0.198674196,0.100952381,0.048820981,42.14317778,0.334499422,0.198643266,0.449262977,0.357158834,0.273657289,0.220852044
10300031801,4.392983629,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.19503133,0,0.037538365,5.447660517,0.368587815,0.201154261,0.49907495,0.289191652,0.206022856,0.216802528
10300031804,5.130971093,3,0.733333333,0,1,NA,53,0,0,0,0.449939738,0.334702259,0.198674196,0.100952381,0.048820981,42.14317778,0.334499422,0.198643266,0.449262977,0.357158834,0.273657289,0.220852044
10300031806,5.130971093,3,0.733333333,0,1,NA,53,0,0,0,0.449939738,0.334702259,0.198674196,0.100952381,0.048820981,42.14317778,0.334499422,0.198643266,0.449262977,0.357158834,0.273657289,0.220852044
10300031903,5.130971093,3,0.733333333,0,1,NA,53,0,0,0,0.449939738,0.334702259,0.198674196,0.100952381,0.048820981,42.14317778,0.334499422,0.198643266,0.449262977,0.357158834,0.273657289,0.220852044
10300032104,4.286853155,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.195363929,0,0.055998027,6.358921123,0.36877309,0.201086096,0.485707186,0.289399149,0.206022856,0.217172254
10300032301,4.417654855,2,0.8,0,1,NA,7,0,0,0,0.435447258,0.351699749,0.197305438,0.032083333,0.046867332,7.901911111,0.351742486,0.198055902,0.434217643,0.331908337,0.253796355,0.219330493
10300032303,4.417654855,2,0.8,0,1,NA,7,0,0,0,0.435447258,0.351699749,0.197305438,0.032083333,0.046867332,7.901911111,0.351742486,0.198055902,0.434217643,0.331908337,0.253796355,0.219330493
10300032305,4.444186206,NA,NA,NA,1,NA,7,0,0,0,0.435447258,0.351699749,0.19609918,0.016041667,0.046957245,7.630711111,0.369570209,0.196071134,0.474679112,0.306852968,0.223907449,0.217989581
10300032308,4.470717557,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.194892923,0,0.046383131,4.89758779,0.359978562,0.200797787,0.481806848,0.289105304,0.206022856,0.21664867
10400020602,4.77692208,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.195576348,0,0.051798119,7.989240171,0.362861369,0.205757303,0.510315819,0.28953167,0.206022856,0.217408386
10400020701,2.828945723,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.19632855,0,0.057523314,5.802812898,0.351702202,0.202057587,0.485696493,0.290000943,0.206022856,0.218244556
10400020702,2.828945723,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.19632855,0,0.057523314,5.802812898,0.351702202,0.202057587,0.485696493,0.290000943,0.206022856,0.218244556
10400020704,4.169938332,10,0.922222222,0,1,0.14,10,0,0,0,0.446166741,0.383527264,0.190667544,0.00952381,0.126933484,13.14923016,0.394208043,0.190935206,0.45659201,0.300244756,0.220481671,0.211951615
10400020801,4.169938332,10,0.922222222,0,1,0.14,10,0,0,0,0.446166741,0.383527264,0.190667544,0.00952381,0.126933484,13.14923016,0.394208043,0.190935206,0.45659201,0.300244756,0.220481671,0.211951615
10400020802,4.169938332,10,0.922222222,0,1,0.14,10,0,0,0,0.446166741,0.383527264,0.190667544,0.00952381,0.126933484,13.14923016,0.394208043,0.190935206,0.45659201,0.300244756,0.220481671,0.211951615
10400020803,4.169938332,10,0.922222222,0,1,0.14,10,0,0,0,0.446166741,0.383527264,0.190667544,0.00952381,0.126933484,13.14923016,0.394208043,0.190935206,0.45659201,0.300244756,0.220481671,0.211951615
10400020904,3.063289997,4,0.666666667,0,1,NA,14,0,0,0,0.410650385,0.31844075,0.197970751,0.032916667,0.052449521,14.19011111,0.318145048,0.197935178,0.408855765,0.365884861,0.294186398,0.220070074
10400020909,3.063289997,4,0.666666667,0,1,NA,14,0,0,0,0.410650385,0.31844075,0.197970751,0.032916667,0.052449521,14.19011111,0.318145048,0.197935178,0.408855765,0.365884861,0.294186398,0.220070074
