"STATE","HUC12"
"Maine","010100020101"
"Maine","010100020102"
"Maine","010100020103"
"Maine","010100020104"
"Maine","010100020105"
"Maine","010100020201"
"Maine","010100020202"
"Maine","010100020203"
"Maine","010100020204"
"Maine","010100020301"
"Maine","010100020302"
"Maine","010100020303"
"Maine","010100020304"
"Maine","010100020305"
"Maine","010100020306"
"Maine","010100020307"
"Maine","010100020308"
"Maine","010100020401"
"Maine","010100020402"
"Maine","010100020403"
"Maine","010100020404"
"Maine","010100020405"
"Maine","010100020406"
"Maine","010100020501"
"Maine","010100020502"
"Maine","010100020503"
"Maine","010100020504"
"Maine","010100020505"
"Maine","010100020601"
"Maine","010100020602"
"Maine","010100020701"
"Maine","010100020702"
"Maine","010100020703"
"Maine","010100020704"
"Maine","010100020705"
"Maine","010100020706"
"Maine","010100020707"
"Maine","010100020708"
"Maine","010100020709"
"Maine","010100020710"
"Maine","010100020711"
"Maine","010100030101"
"Maine","010100030102"
"Maine","010100030103"
"Maine","010100030104"
"Maine","010100030105"
"Maine","010100030201"
"Maine","010100030202"
"Maine","010100030203"
"Maine","010100030204"
"Maine","010100030205"
"Maine","010100030206"
"Maine","010100030207"
"Maine","010100030301"
"Maine","010100030302"
"Maine","010100030303"
"Maine","010100030304"
"Maine","010100030305"
"Maine","010100030306"
"Maine","010100030307"
"Maine","010100030308"
"Maine","010100030309"
"Maine","010100030310"
"Maine","010100030401"
"Maine","010100030402"
"Maine","010100030403"
"Maine","010100040101"
"Maine","010100040102"
"Maine","010100040103"
"Maine","010100040104"
"Maine","010100040201"
"Maine","010100040202"
"Maine","010100040203"
"Maine","010100040301"
"Maine","010100040302"
"Maine","010100040303"
"Maine","010100040304"
"Maine","010100040305"
"Maine","010100040306"
"Maine","010100040401"
"Maine","010100040402"
"Maine","010100040501"
"Maine","010100040502"
"Maine","010100040503"
"Maine","010100040504"
"Maine","010100040505"
"Maine","010100040506"
"Maine","010100040601"
"Maine","010100040602"
"Maine","010100040603"
"Maine","010100040604"
"Maine","010100040605"
"Maine","010100040606"
"Maine","010100040701"
"Maine","010100040702"
"Maine","010100040703"
"Maine","010100040801"
"Maine","010100040802"
"Maine","010100040803"
"Maine","010100040804"
"Maine","010100040805"
"Maine","010100040901"
"Maine","010100040902"
"Maine","010100040903"
"Maine","010100040904"
"Maine","010100040905"
"Maine","010100040906"
"Maine","010100040907"
"Maine","010100040908"
"Maine","010100040909"
"Maine","010100041001"
"Maine","010100041002"
"Maine","010100041003"
"Maine","010100041004"
"Maine","010100041005"
"Maine","010100041006"
"Maine","010100041007"
"Maine","010100041008"
"Maine","010100041009"
"Maine","010100041101"
"Maine","010100041102"
"Maine","010100041103"
"Maine","010100041104"
"Maine","010100041105"
"Maine","010100041106"
"Maine","010100041107"
"Maine","010100041108"
"Maine","010100041109"
"Maine","010100041110"
"Maine","010100041111"
"Maine","010100041112"
"Maine","010100041113"
"Maine","010100050101"
"Maine","010100050102"
"Maine","010100050201"
"Maine","010100050202"
"Maine","010100050203"
"Maine","010100050301"
"Maine","010100050302"
"Maine","010100050303"
"Maine","010100050304"
"Maine","010100050305"
"Maine","010100050306"
"Maine","010100050307"
"Maine","010100050308"
"Maine","010100060101"
"Maine","010100060102"
"Maine","010100060103"
"Maine","010100060104"
"Maine","010100060105"
"Maine","010100060106"
"Maine","010100060107"
"Maine","010100060108"
"Maine","010100060109"
"Maine","010100060201"
"Maine","010100060202"
"Maine","010100060203"
"Maine","010100060204"
"Maine","010100060205"
"Maine","010100060206"
"Maine","010100060207"
"Maine","010100060208"
"Maine","010100060305"
"Maine","010100060306"
"Maine","010100060307"
"Maine","010100060312"
"Maine","010100060313"
"Maine","010100070101"
"Maine","010100070102"
"Maine","010100070103"
"Maine","010100070204"
"Maine","010100070205"
"Maine","010100070206"
"Maine","010100070207"
"Maine","010100070208"
"Maine","010100070209"
"Maine","010100070301"
"Maine","010100070302"
"Maine","010100070303"
"Maine","010100070304"
"Maine","010100070305"
"Maine","010100070306"
"Maine","010100070401"
"Maine","010100070402"
"Maine","010100070403"
"Maine","010100070404"
"Maine","010100070405"
"Maine","010100070502"
"Maine","010100070503"
"Maine","010100070504"
"Maine","010100070505"
"Maine","010100070506"
"Maine","010100070507"
"Maine","010100070601"
"Maine","010100070602"
"Maine","010100070603"
"Maine","010100070604"
"Maine","010100070605"
"Maine","010100070606"
"Maine","010100070607"
"Maine","010100070701"
"Maine","010100070702"
"Maine","010100070703"
"Maine","010100080101"
"Maine","010100080102"
"Maine","010100080401"
"Maine","010100080403"
"Maine","010100080404"
"Maine","010100080405"
"Maine","010100080406"
"Maine","010100080407"
"Maine","010100080408"
"Maine","010100080503"
"Maine","010100080504"
"Maine","010100081107"
"Maine","010100081108"
"Maine","010100090601"
"Maine","010100090603"
"Maine","010100090604"
"Maine","010100090605"
"Maine","010100090607"
"Maine","010100090608"
"Maine","010100100101"
"Maine","010100100102"
"Maine","010100100201"
"Maine","010100100202"
"Maine","010100100203"
"Maine","010100100204"
"Maine","010100100205"
"Maine","010100100206"
"Maine","010100100207"
"Maine","010100110103"
"Maine","010200010101"
"Maine","010200010102"
"Maine","010200010103"
"Maine","010200010104"
"Maine","010200010105"
"Maine","010200010106"
"Maine","010200010201"
"Maine","010200010202"
"Maine","010200010203"
"Maine","010200010204"
"Maine","010200010205"
"Maine","010200010206"
"Maine","010200010207"
"Maine","010200010208"
"Maine","010200010209"
"Maine","010200010210"
"Maine","010200010301"
"Maine","010200010302"
"Maine","010200010303"
"Maine","010200010304"
"Maine","010200010305"
"Maine","010200010306"
"Maine","010200010307"
"Maine","010200010308"
"Maine","010200010401"
"Maine","010200010402"
"Maine","010200010403"
"Maine","010200010404"
"Maine","010200010501"
"Maine","010200010502"
"Maine","010200010503"
"Maine","010200010504"
"Maine","010200010505"
"Maine","010200010506"
"Maine","010200010507"
"Maine","010200010508"
"Maine","010200010509"
"Maine","010200010601"
"Maine","010200010602"
"Maine","010200010701"
"Maine","010200010702"
"Maine","010200010703"
"Maine","010200010704"
"Maine","010200010801"
"Maine","010200010802"
"Maine","010200010803"
"Maine","010200010804"
"Maine","010200010805"
"Maine","010200010901"
"Maine","010200010902"
"Maine","010200010903"
"Maine","010200010904"
"Maine","010200010905"
"Maine","010200010906"
"Maine","010200010907"
"Maine","010200011001"
"Maine","010200011002"
"Maine","010200011003"
"Maine","010200011004"
"Maine","010200011005"
"Maine","010200011006"
"Maine","010200011007"
"Maine","010200020101"
"Maine","010200020102"
"Maine","010200020103"
"Maine","010200020104"
"Maine","010200020105"
"Maine","010200020106"
"Maine","010200020107"
"Maine","010200020108"
"Maine","010200020201"
"Maine","010200020202"
"Maine","010200020203"
"Maine","010200020204"
"Maine","010200020205"
"Maine","010200020301"
"Maine","010200020302"
"Maine","010200020303"
"Maine","010200020304"
"Maine","010200020401"
"Maine","010200020402"
"Maine","010200020403"
"Maine","010200020404"
"Maine","010200020405"
"Maine","010200020406"
"Maine","010200020407"
"Maine","010200020408"
"Maine","010200020501"
"Maine","010200020502"
"Maine","010200020503"
"Maine","010200020504"
"Maine","010200020505"
"Maine","010200020506"
"Maine","010200020507"
"Maine","010200030101"
"Maine","010200030102"
"Maine","010200030103"
"Maine","010200030104"
"Maine","010200030105"
"Maine","010200030106"
"Maine","010200030107"
"Maine","010200030108"
"Maine","010200030109"
"Maine","010200030110"
"Maine","010200030111"
"Maine","010200030112"
"Maine","010200030113"
"Maine","010200030201"
"Maine","010200030202"
"Maine","010200030203"
"Maine","010200030204"
"Maine","010200030205"
"Maine","010200030301"
"Maine","010200030302"
"Maine","010200030303"
"Maine","010200030401"
"Maine","010200030402"
"Maine","010200030403"
"Maine","010200030404"
"Maine","010200030501"
"Maine","010200030502"
"Maine","010200030503"
"Maine","010200030504"
"Maine","010200030505"
"Maine","010200030506"
"Maine","010200030507"
"Maine","010200030508"
"Maine","010200030509"
"Maine","010200030510"
"Maine","010200030511"
"Maine","010200030601"
"Maine","010200030602"
"Maine","010200030603"
"Maine","010200030604"
"Maine","010200030605"
"Maine","010200030606"
"Maine","010200030607"
"Maine","010200030701"
"Maine","010200030702"
"Maine","010200030703"
"Maine","010200030704"
"Maine","010200040101"
"Maine","010200040102"
"Maine","010200040103"
"Maine","010200040104"
"Maine","010200040105"
"Maine","010200040106"
"Maine","010200040107"
"Maine","010200040108"
"Maine","010200040109"
"Maine","010200040110"
"Maine","010200040111"
"Maine","010200040201"
"Maine","010200040202"
"Maine","010200040203"
"Maine","010200040204"
"Maine","010200040205"
"Maine","010200040301"
"Maine","010200040302"
"Maine","010200040303"
"Maine","010200040304"
"Maine","010200040305"
"Maine","010200040306"
"Maine","010200040307"
"Maine","010200040308"
"Maine","010200040309"
"Maine","010200040310"
"Maine","010200040311"
"Maine","010200040312"
"Maine","010200040401"
"Maine","010200040402"
"Maine","010200040403"
"Maine","010200040404"
"Maine","010200040405"
"Maine","010200040406"
"Maine","010200040407"
"Maine","010200040408"
"Maine","010200040409"
"Maine","010200040410"
"Maine","010200040501"
"Maine","010200040502"
"Maine","010200040503"
"Maine","010200040504"
"Maine","010200040601"
"Maine","010200040602"
"Maine","010200040603"
"Maine","010200040604"
"Maine","010200050101"
"Maine","010200050102"
"Maine","010200050103"
"Maine","010200050104"
"Maine","010200050201"
"Maine","010200050202"
"Maine","010200050203"
"Maine","010200050204"
"Maine","010200050205"
"Maine","010200050206"
"Maine","010200050207"
"Maine","010200050208"
"Maine","010200050301"
"Maine","010200050302"
"Maine","010200050303"
"Maine","010200050304"
"Maine","010200050305"
"Maine","010200050306"
"Maine","010200050307"
"Maine","010200050308"
"Maine","010200050309"
"Maine","010200050310"
"Maine","010200050311"
"Maine","010200050401"
"Maine","010200050402"
"Maine","010200050403"
"Maine","010200050404"
"Maine","010200050405"
"Maine","010200050406"
"Maine","010200050407"
"Maine","010200050408"
"Maine","010200050501"
"Maine","010200050502"
"Maine","010200050503"
"Maine","010200050504"
"Maine","010200050505"
"Maine","010200050506"
"Maine","010200050507"
"Maine","010200050508"
"Maine","010200050509"
"Maine","010200050510"
"Maine","010200050601"
"Maine","010200050602"
"Maine","010200050603"
"Maine","010200050701"
"Maine","010200050702"
"Maine","010200050703"
"Maine","010200050704"
"Maine","010200050705"
"Maine","010200050706"
"Maine","010200050707"
"Maine","010200050801"
"Maine","010200050802"
"Maine","010200050803"
"Maine","010200050804"
"Maine","010200050805"
"Maine","010200050901"
"Maine","010200050902"
"Maine","010200050903"
"Maine","010200050904"
"Maine","010200050905"
"Maine","010200050906"
"Maine","010200051001"
"Maine","010200051002"
"Maine","010200051003"
"Maine","010200051004"
"Maine","010200051005"
"Maine","010200051006"
"Maine","010200051007"
"Maine","010200051008"
"Maine","010200051009"
"Maine","010300010101"
"Maine","010300010102"
"Maine","010300010201"
"Maine","010300010202"
"Maine","010300010203"
"Maine","010300010204"
"Maine","010300010205"
"Maine","010300010206"
"Maine","010300010301"
"Maine","010300010302"
"Maine","010300010303"
"Maine","010300010304"
"Maine","010300010305"
"Maine","010300010306"
