Model,Variable,Importance,Effect_Type,Full_Name,Category
cyan,Precip8110Ws,0.055276583,Lake,30-year mean precip. in Ws (mm),Climate 
cyan,SystemSizePop,0.051905739,Lake,Number of People Served,Drinking Water Operation
cyan,All_Viol_Risk,0.031546554,Lake,All DW System Health-Based Violation Risk (0-1),Drinking Water MCL
cyan,All_Deficiencies_num,0.031233143,Lake,Total System Deficiencies,Drinking Water Operation
cyan,HABs_Treat_Score2,0.030374985,Lake,Calculated HABs Specific Treatment Tech Score (0-1),Drinking Water Operation
cyan,HABs_Treat_Num,0.029675255,Lake,Number of HABs Specific Treatment Technologies per DW System,Drinking Water Operation
cyan,MeanDepth,0.021699322,Lake,Mean Lake Depth,Lake
cyan,n_DBP_mr,0.021043544,Lake,Number of DW System Disinfectant Byproduct Monitoring/Reporting Violations,Drinking Water Operation
cyan,LakeVolume,0.018083392,Lake,Lake Volume,Lake
cyan,SourceWater_deficiencies_num,0.017450341,Lake,Number of DW System Source Water Deficiencies,Drinking Water Operation
cyan,Nsurp_kgkm2_Ws,0.017445991,Lake,N Surplus per Ws (kg N/km2/yr),inputs
cyan,Tmean8110Ws,0.016768492,Lake,30-year (1981-2010) mean temp. (C) in Ws,Climate
cyan,All_Viol_Freq,0.016321587,Lake,All DW System Health-Based Violations Frequency,Drinking Water MCL
cyan,FertCat,0.016040781,Lake,N fertilizer app. rate in Cat (kg N/ha/yr),inputs
cyan,Treatment_deficiencies_num,0.015568092,Lake,Number of DW System Treatment Deficiencies,Drinking Water Operation
cyan,Distribution_deficiencies_num,0.015478686,Lake,Number of Distribution System Deficiencies,Drinking Water Operation
cyan,lake_TN,0.014686106,Lake,Predicted Lake Total Nitrogen Concentration (mg/L),Lake
cyan,Mgmt_Deficiences_num,0.014591806,Lake,Number of DW System Management Deficiencies,Drinking Water Operation
cyan,LakeArea,0.013572584,Lake,Lake Area,Lake
cyan,lake_TP,0.013487117,Lake,Predicted Lake Total Phosphorus Concentration (mg/L),Lake
cyan,Enforcement_Violation_Notice_num,0.010218019,Lake,Number of DW System Enforcement Violations,Drinking Water Operation
cyan,Lake_Chla,0.008971979,Lake,Predicted Lake Chlorophyll-a Concentration (mg/L),Lake
cyan,n_turb_exceed,0.002326875,Lake,Number of DW System Turbidity Exceedances,Drinking Water Operation
cyan,n_Tot_C_tt,0.002149215,Lake,Number of DW System Total Carbon Treatment Technique Violations,Drinking Water Operation
cyan,AltSource_yn2,0.001264229,Lake,If DW System has Alternate Source (Y/N),Drinking Water MCL
cyan,n_RTCR_tt,0.001027879,Lake,Number of DW System Revised Total Coliform Treatment Technique Violations,Drinking Water Operation
cyan,Financial_Deficiencies_num,0.000922597,Lake,Number of Financial Deficiences,Drinking Water Operation
cyan,ServesSchoolDaycare2,0,Lake,If DW System Serves School or Hospital,Drinking Water Operation
cyan,RTCR_Risk,0,Lake,Revised Total Coliform Risk Score (0-1),Drinking Water MCL
cyan,n_RTCR_mcl,0,Lake,Number of DW System Revised Total Coliform Maximum Contaminant Level Violations,Drinking Water Operation
cyan,n_SWTR_tt,0,Lake,Number of DW System Source Water Treatment Rule Treatment Technique Violations,Drinking Water Operation
dbp,All_Viol_Freq,650900.5882,Lake,All DW System Health-Based Violations Frequency,Drinking Water MCL
dbp,All_Viol_Risk,358722.7881,Lake,All DW System Health-Based Violation Risk (0-1),Drinking Water MCL
dbp,Mgmt_Deficiences_num,190132.1513,Lake,Number of DW System Management Deficiencies,Drinking Water Operation
dbp,HABs_Treat_Num,169294.5622,Lake,Number of HABs Specific Treatment Technologies per DW System,Drinking Water Operation
dbp,SystemSizePop,124192.252,Lake,Number of People Served,Drinking Water Operation
dbp,LakeArea,98105.19303,Lake,Lake Area,Lake
dbp,HABs_Treat_Score2,66885.74054,Lake,Calculated HABs Specific Treatment Tech Score (0-1),Drinking Water Operation
dbp,Distribution_deficiencies_num,56513.31946,Lake,Number of Distribution System Deficiencies,Drinking Water Operation
dbp,MeanDepth,53901.61783,Lake,Mean Lake Depth,Lake
dbp,LakeVolume,53754.07114,Lake,Lake Volume,Lake
dbp,n_turb_exceed,52813.94068,Lake,Number of DW System Turbidity Exceedances,Drinking Water Operation
dbp,All_Deficiencies_num,50446.08162,Lake,Total System Deficiencies,Drinking Water Operation
dbp,Treatment_deficiencies_num,49283.27387,Lake,Number of DW System Treatment Deficiencies,Drinking Water Operation
dbp,FertCat,45335.85816,Lake,N fertilizer app. rate in Cat (kg N/ha/yr),inputs
dbp,Precip8110Ws,39227.63039,Lake,30-year mean precip. in Ws (mm),Climate 
dbp,Tmean8110Ws,26674.56636,Lake,30-year (1981-2010) mean temp. (C) in Ws,climate
dbp,lake_TP,24070.04133,Lake,Predicted Lake Total Phosphorus Concentration (mg/L),Lake
dbp,Lake_Chla,24062.01122,Lake,Predicted Lake Chlorophyll-a Concentration (mg/L),Lake
dbp,Nsurp_kgkm2_Ws,20438.79155,Lake,N Surplus per Ws (kg N/km2/yr),inputs
dbp,SourceWater_deficiencies_num,20065.30934,Lake,Number of DW System Source Water Deficiencies,Drinking Water Operation
dbp,n_DBP_mr,18073.6506,Lake,Number of DW System Disinfectant Byproduct Monitoring/Reporting Violations,Drinking Water Operation
dbp,lake_TN,17842.19912,Lake,Predicted Lake Total Nitrogen Concentration (mg/L),Lake
dbp,n_SWTR_tt,17023.07247,Lake,Number of DW System Source Water Treatment Rule Treatment Technique Violations,Drinking Water Operation
dbp,Enforcement_Violation_Notice_num,12380.2213,Lake,Number of DW System Enforcement Violations,Drinking Water Operation
dbp,n_Tot_C_tt,12336.55177,Lake,Number of DW System Total Carbon Treatment Technique Violations,Drinking Water Operation
dbp,AltSource_yn2,1386.914475,Lake,If DW System has Alternate Source (Y/N),Drinking Water MCL
dbp,Financial_Deficiencies_num,850.696591,Lake,Number of Financial Deficiences,Drinking Water Operation
dbp,n_RTCR_tt,21.91771828,Lake,Number of DW System Revised Total Coliform Treatment Technique Violations,Drinking Water Operation
dbp,ServesSchoolDaycare2,0,Lake,If DW System Serves School or Hospital,Drinking Water Operation
dbp,RTCR_Risk,0,Lake,Revised Total Coliform Risk Score (0-1),Drinking Water MCL
dbp,n_RTCR_mcl,0,Lake,Number of DW System Revised Total Coliform Maximum Contaminant Level Violations,Drinking Water Operation
dwops,ServesSchoolDaycare2,0.544401653,Lake,If DW System Serves School or Hospital,Drinking Water Operation
dwops,HABs_Treat_Score2,0.280707937,Lake,Calculated HABs Specific Treatment Tech Score (0-1),Drinking Water Operation
dwops,Lake_Risk,0.218359698,Lake,Predicted Overall Lake Risk Score (0-1),Lake
dwops,MeanDepth,0.199672051,Lake,Mean Lake Depth,Lake
